HighSchool,Count,HSGPA,ColGPA,difGPA
"Seton Home Study School       ",2,4.00,4.00,0.00
"Owensboro Cath High School    ",1,3.82,4.00,-0.18
"Comenius School.",2,3.92,4.00,-0.08
"Berean Academy",1,3.95,4.00,-0.05
"Maristes Monterrat",1,4.00,4.00,0.00
"Eastlake High School          ",1,3.44,4.00,-0.56
"Elizabethtown Sr High School  ",1,4.00,4.00,0.00
"Lincoln High School           ",1,3.89,4.00,-0.11
"Macon Christian Academy",1,4.00,4.00,0.00
"Buford High School            ",1,4.00,4.00,0.00
"Keen Mountain Christian Acad",1,4.00,4.00,0.00
"Oasis International School",1,3.88,4.00,-0.12
"West Forsyth High School",2,3.78,4.00,-0.21
"Istituto Statale Marco Belli",1,3.13,4.00,-0.87
"Union Grove High School       ",1,4.00,4.00,0.00
"East Jessamine High School",1,4.00,4.00,0.00
"FAYETTE COUNTY HIGH SCHOOL",1,3.96,4.00,-0.04
"Bullard High School",1,3.94,4.00,-0.06
"Carlsbad High School          ",1,3.77,4.00,-0.23
"Hamilton Heights High School  ",1,3.35,4.00,-0.65
"Saint Thomas More Academy",1,4.00,4.00,0.00
"West Anchorage High School    ",1,3.26,4.00,-0.74
"Cumberland Valley High School ",1,4.00,4.00,0.00
"Cross Creek Christian School",1,4.00,4.00,0.00
"Maple Grove High School       ",1,4.00,4.00,0.00
"Pine Island High School",1,3.96,4.00,-0.04
"Leesville High School         ",1,4.00,4.00,0.00
"Dewey High School",1,4.00,4.00,0.00
"Herron High School",1,4.00,4.00,0.00
"Milton High School",1,4.00,4.00,0.00
"Christ Presbyterian Academy",1,4.00,4.00,0.00
"Milford High School           ",1,4.00,4.00,0.00
"Wright City High School       ",1,4.00,4.00,0.00
"North Central High School     ",1,4.00,4.00,0.00
"Quabbin Regional Mid/high Sch",1,3.65,4.00,-0.35
"Bay Haven Charter Academy",1,3.12,4.00,-0.88
"Eagles Landing High School    ",1,3.77,4.00,-0.23
"Charlotte Catholic High School",1,3.40,4.00,-0.60
"Academia Americana",1,0.00,4.00,-4.00
"21st Secondary School Makkah",1,3.74,4.00,-0.26
"St Mary's Kibuk GIrls Sec Sch",1,3.23,4.00,-0.77
"Nadderud Videregaende Skole",1,4.00,4.00,0.00
"Gymnasium Am Stefansberg",1,3.80,4.00,-0.20
"Aldhaid Sec School for Boys",1,3.47,4.00,-0.53
"Al-Tawien Boys' School",1,3.57,4.00,-0.43
"Escola Secundaria Pedro Nunes",1,2.05,4.00,-1.95
"Collierville High School",2,3.80,3.90,-0.11
