HighSchool,Count,HSGPA,ColGPA,difGPA
"Cookeville High School",490,3.71,2.82,0.89
"Upperman High School",172,3.73,2.48,1.24
"White County High School",157,3.63,2.66,0.97
"Livingston Academy",144,3.73,2.96,0.77
"Warren County High School",118,3.75,2.71,1.04
"Lebanon High School",108,3.73,2.50,1.23
"Stone Memorial High School",99,3.75,2.79,0.96
"Wilson Central High School",94,3.72,2.91,0.82
"Mount Juliet High School",94,3.77,2.90,0.87
"Cumberland County High School",90,3.73,2.54,1.19
"DeKalb County High School",80,3.88,2.70,1.18
"Maryville High School",63,3.60,2.95,0.65
"Stewarts Creek High School",62,3.64,2.65,0.99
"Coffee County Central Hs",61,3.72,2.60,1.13
"Summit High School",60,3.58,2.57,1.01
"Macon County High School",56,3.73,2.71,1.02
"Independence High School",56,3.72,2.88,0.84
"Station Camp High School",54,3.66,3.08,0.58
"Dickson County High School",54,3.63,2.89,0.73
"York Institute",54,3.77,2.79,0.98
"Monterey High School",52,3.53,2.67,0.86
"Home Life Academy",52,3.75,3.23,0.52
"Jackson County High School",51,3.44,2.35,1.09
"Hendersonville High School",51,3.49,3.03,0.47
"Sequatchie County High School",45,3.50,2.63,0.87
"Blackman High School",43,3.29,2.64,0.66
"Gordonsville High School",43,3.63,2.90,0.74
"Lenoir City High School",42,3.67,3.28,0.39
"Oakland High School",42,3.36,2.71,0.66
"Smith County High School",41,3.61,3.00,0.61
"Beech High School",41,3.59,3.04,0.55
"Hardin Valley Academy",41,3.68,3.09,0.59
"Franklin County High School",40,3.75,3.06,0.70
"Clay County High School",38,3.86,3.05,0.81
"McGavock High School",38,3.47,2.59,0.87
"Nolensville High School",38,3.54,2.40,1.15
"Anderson County High School",37,3.78,3.00,0.78
"Pickett County High School",37,3.71,3.24,0.47
"Fred J Page High School",37,3.67,2.87,0.79
"Franklin High School",36,3.68,2.81,0.87
"Walker Valley High School",36,3.62,2.54,1.08
"Portland Senior High School",36,3.67,3.01,0.66
