HighSchool,Count,HSGPA,ColGPA,difGPA
"Mountain Education Center Hs",1,4.00,0.00,4.00
"Saint Vincent Pallotti HS     ",1,3.77,0.00,3.77
"Lycee Al-Horreya De Bab El-Lou",1,3.70,0.00,3.70
"Carl Junction R-I High School ",1,3.68,0.00,3.68
"Morris Wilson Campus School",1,3.67,0.00,3.67
"East Ridge High School",1,3.61,0.00,3.61
"Sacred Heart Of Jesus Hs",2,3.58,0.12,3.46
"Brighton High School          ",1,3.36,0.00,3.36
"McCreary Central High School  ",1,3.21,0.00,3.21
"Chance Transitional School",1,3.17,0.00,3.17
"North Lamar High School",1,3.03,0.00,3.03
"Madison Southern High School  ",1,3.43,0.40,3.03
"Dos Pueblos High School       ",1,3.69,0.79,2.90
"Jefferson City High School",1,2.90,0.00,2.90
"Unaka High School",3,3.67,0.81,2.86
"William T Dwyer Comm High Scho",1,2.96,0.10,2.86
"Pembroke Pines Charter Hs",1,3.21,0.41,2.80
"William Amos Hough High School",1,3.47,0.73,2.74
"Urbane College",1,4.00,1.33,2.67
"William Mason High School     ",1,2.49,0.00,2.49
"Carson High School",1,3.48,1.00,2.48
"Martha Layne Collins High Sch",1,4.00,1.53,2.47
"Luverne High School           ",1,3.17,0.71,2.46
"South Broward High School     ",1,2.61,0.20,2.41
"Whitehaven High School",1,2.85,0.47,2.38
"Northwood High School",1,3.51,1.15,2.36
"Airline High School           ",1,3.21,0.87,2.34
"Lake Placid High School       ",1,2.96,0.65,2.31
"Edgewood High School",1,3.77,1.46,2.31
"Southwestern Central Hs",1,3.10,0.80,2.30
"St Ursula Eichi High School",1,2.61,0.38,2.23
"Stephen Decatur High School",2,4.00,1.78,2.22
"Oak Hill Academy              ",1,2.64,0.42,2.22
"Clark County R-1 High School",1,3.14,0.93,2.21
"Holy Trinity Episcopal Academy",1,3.20,1.00,2.20
"Warren Woods Tower High School",1,2.52,0.33,2.19
"Bartlett Yancey Senior High   ",1,2.17,0.00,2.17
"Sale Creek High School",6,3.42,1.26,2.16
"Camden Central High School",4,3.52,1.39,2.13
"Saint Charles West High School",1,3.61,1.50,2.11
"Putnam Co High School         ",1,3.50,1.46,2.04
"Tahquitz High School",1,3.19,1.16,2.03
"Renaissance High School",2,3.62,1.60,2.02
"Kenwood High",1,2.87,0.86,2.01
"Judah Christian High School",1,4.00,2.00,2.00
"GLM International School",1,2.00,0.00,2.00
"Woodland High School",1,2.93,0.94,1.99
"Benton High School            ",1,3.81,1.82,1.99
"Gateway Academy Brentwood",1,3.75,1.79,1.96
"Millington Central High School",1,3.51,1.56,1.95
"South Pittsburg High School",2,3.58,1.67,1.92
"Denmark High School",1,3.85,1.93,1.92
"The Phoenix School",1,3.31,1.40,1.91
"Richland High School",3,3.48,1.58,1.90
"Wilson County Adult Hs",2,3.20,1.29,1.90
"Holloway Vo-Tech High School",1,3.34,1.46,1.88
"Kanyawanga High School",1,2.50,0.62,1.88
"Elizabethton High School",6,3.54,1.73,1.81
"Our Savior New American School",1,3.93,2.13,1.80
"Clayton Valley High School",1,3.73,1.94,1.79
"KIPP Nashville Collegiate HS",2,2.70,0.92,1.78
"South Warren High School",2,3.36,1.59,1.78
"J Serra High School",1,3.33,1.58,1.75
"Tr Robinson High School       ",1,3.42,1.69,1.73
"Brentsville Dist Mid-Senior Hs",1,3.97,2.25,1.72
"Wade Hampton High School",1,4.00,2.29,1.71
"College de Montreal",1,3.50,1.79,1.71
"Nashville School Of The Arts",5,3.57,1.87,1.69
"Boaz High School              ",1,3.47,1.79,1.68
"Tellico Plains High School",3,3.73,2.07,1.67
"South Forsyth High School     ",1,2.51,0.89,1.62
"Haverling High School         ",1,3.03,1.43,1.60
"Chelsea High School           ",2,3.80,2.20,1.60
"Newfield High School          ",2,3.50,1.90,1.60
"Baldwin Prep School",1,4.00,2.42,1.58
"Rocky Point High School",1,3.40,1.82,1.58
