HighSchool,HSCount,Stay,Dropout,Dropout_Rate
"Cookeville High School",490,444,46,90.61
"White County High School",157,134,23,85.35
"Livingston Academy",144,126,18,87.50
"Upperman High School",172,154,18,89.53
"Cumberland County High School",90,73,17,81.11
"Warren County High School",118,102,16,86.44
"Jackson County High School",51,37,14,72.55
"Stone Memorial High School",99,88,11,88.89
"Lebanon High School",108,97,11,89.81
"Monterey High School",52,42,10,80.77
"DeKalb County High School",80,70,10,87.50
"Macon County High School",56,47,9,83.93
"Sequatchie County High School",45,36,9,80.00
"Clarkrange High School",33,24,9,72.73
"Wilson Central High School",94,86,8,91.49
"Mount Juliet High School",94,86,8,91.49
"Stewarts Creek High School",62,54,8,87.10
"Nolensville High School",38,30,8,78.95
"Coffee County Central Hs",61,54,7,88.52
"Scott High School",21,14,7,66.67
"York Institute",54,47,7,87.04
"Lavergne High School",25,18,7,72.00
"Oak Ridge High School",33,26,7,78.79
"Clay County High School",38,32,6,84.21
"Summit High School",60,54,6,90.00
"Independence High School",56,50,6,89.29
"Siegel High School",31,26,5,83.87
"McGavock High School",38,33,5,86.84
"Maryville High School",63,58,5,92.06
"Walker Valley High School",36,31,5,86.11
"Lexington High School",20,15,5,75.00
"Blackman High School",43,39,4,90.70
"Station Camp High School",54,50,4,92.59
"Jefferson County High School",23,19,4,82.61
"Watertown High School",25,21,4,84.00
"Tullahoma High School",28,24,4,85.71
"Fred J Page High School",37,33,4,89.19
"Bledsoe County High School",23,19,4,82.61
"Grundy County High School",25,21,4,84.00
"Beech High School",41,37,4,90.24
"Marshall County High School",25,21,4,84.00
"Soddy-Daisy High School",28,24,4,85.71
"Brentwood High School",17,13,4,76.47
"Red Bank High School",14,10,4,71.43
"Farragut High School",30,26,4,86.67
"Cannon County High School",20,16,4,80.00
"Rockvale High School",15,11,4,73.33
"Anderson County High School",37,34,3,91.89
"Smith County High School",41,38,3,92.68
"Gordonsville High School",43,40,3,93.02
"Daniel 1 Academy",31,28,3,90.32
"Friendship Christian School",23,20,3,86.96
"Cleveland High School",27,24,3,88.89
"Oneida High School",18,15,3,83.33
"Clinton High School",19,16,3,84.21
"Gallatin High School",29,26,3,89.66
"Nashville School Of The Arts",5,2,3,40.00
"Dickson County High School",54,51,3,94.44
"Sequoyah High School",22,19,3,86.36
"Sale Creek High School",6,3,3,50.00
"John Overton Comprehensive Hs",26,23,3,88.46
"Chuckey Doak High School",6,3,3,50.00
"Oakland High School",42,39,3,92.86
"Huntland High School",18,15,3,83.33
"Morristown Hamblen Hs West",13,10,3,76.92
"Sunbright High School",10,7,3,70.00
"Rhea County High School",19,16,3,84.21
"Dobyns Bennett High School",19,16,3,84.21
"Hendersonville High School",51,48,3,94.12
"Chattanooga Sch Arts/sciences",10,7,3,70.00
"Gateway Christian Schools",14,12,2,85.71
"Pickett County High School",37,35,2,94.59
"McMinn County High School",13,11,2,84.62
"Creek Wood High School",26,24,2,92.31
"Home Life Academy",52,50,2,96.15
"Sycamore High School",28,26,2,92.86
"William Blount High School",35,33,2,94.29
"Bearden High School",34,32,2,94.12
"Columbia Central High School",18,16,2,88.89
"White House Heritage School",27,25,2,92.59
"Centennial High School",30,28,2,93.33
"Spring Hill High School",19,17,2,89.47
"Central Magnet School",34,32,2,94.12
"Antioch High School",17,15,2,88.24
"Franklin County High School",40,38,2,95.00
"Bradley Central High School",20,18,2,90.00
"Clarksville High School",15,13,2,86.67
"Science Hill High School",19,17,2,89.47
"Hardin Valley Academy",41,39,2,95.12
"David Crockett High School",11,9,2,81.82
"Franklin High School",36,34,2,94.44
"Smyrna High School",29,27,2,93.10
"Central High School McMinn Co",11,9,2,81.82
"Riverdale High School",30,28,2,93.33
"Marion County High School",13,11,2,84.62
"Brighton High School",7,5,2,71.43
"Trousdale County High School",32,30,2,93.75
"Portland Senior High School",36,34,2,94.44
