PIDMTERM,TERM,1st_College_Semester_GPA,HighSchool,SARADAP_PIDM,GENDER,AGE,MILES_FROM_TTU,APPDT,Hours_Transferred_In,HS_GRAD_YEAR,HIGH_SCHOOL_GPA,COLLEGE_CODE_DESC,MAJOR_DESC,HOUSING,ORIENTATION_SESSION,ORIENTATION_COMPLETED,ACT_COMPOSITE,Ethnicity,INOUTST_Desc,LOAD_Desc,Program_Name,Pell_Eligible,First_Gen_Status,Appalachian_County,TN_Geographic_Divisions,MAJOR,COLLEGE,CLASS,SEGMENT,COLLEGES1,MAJORS1,Spring_1_Retention,College_Change,Major_Change
163662000000.0,201980,2.0,Cookeville High School,163662,F,28,0.98,43641,0.0,2012,3.02,Independent Programs,General Health Studies,0,10,Yes,17,Hispanic,In-State,Full-Time,General Health Studies,1,1,1,Middle,GHS,IP,FR,2019,IP,GHS,0,0,0
187145000000.0,201980,2.67,Cherokee High School,187145,M,26,0.98,43494,0.0,2014,2.64,Engineering,Computer Science,0,21,No,20,White,In-State,Full-Time,Computer Science (BS),0,0,1,Middle,CSC,EN,FR,2019,EN,CSC,0,0,0
202223000000.0,201980,2.45,White County High School,202223,M,21,15.6,43343,0.0,2018,4.0,Engineering,Computer Science,0,2,Yes,31,White,In-State,Full-Time,Computer Science (BS),0,0,1,Middle,CSC,EN,FR,2019,EN,CSC,1,0,0
215582000000.0,201980,2.6,Anderson County High School,215582,M,22,79.95,43386,9.0,2019,3.41,Arts and Sciences,Biology,1,4,Yes,25,White,In-State,Full-Time,Biology (BS),0,0,1,East,BIOL,AS,FR,2019,AS,BIOL,1,0,0
221679000000.0,201980,1.5,Cookeville High School,221679,M,25,2.23,43392,0.0,2015,2.52,Business,Basic Business,0,21,No,24,White,In-State,Full-Time,Business Management (BSBA),1,1,1,Middle,BMGT,BA,FR,2019,BA,MKT,1,0,1
233552000000.0,201980,0.0,Livingston Academy,233552,M,24,26.79,43430,0.0,2016,2.28,Arts and Sciences,English,0,0,0,19,White,In-State,Full-Time,English (BA),0,0,1,Middle,ENG,AS,FR,2019,AS,ENG,0,0,0
235530000000.0,201980,4.0,Moore County High School,235530,F,21,77.77,43320,7.0,2019,4.0,Engineering,Civil Engineering,1,1,Yes,30,White,In-State,Full-Time,Civil & Environmental Engineering (BSCE),0,0,0,Middle,CE,EN,FR,2019,EN,CE,1,0,0
241943000000.0,201980,2.93,Cumberland County High School,241943,M,21,31.77,43382,0.0,2019,4.0,Engineering,Computer Science,0,3,Yes,34,White,In-State,Full-Time,Computer Science (BS),0,1,1,East,CSC,EN,FR,2019,EN,CSC,1,0,0
242131000000.0,201980,3.46,Gateway Christian Schools,242131,F,22,119.28,43350,6.0,2019,3.67,Education,Psychology,1,2,Yes,25,Two or More Races,In-State,Full-Time,Psychology (BS),0,0,0,Middle,PSY,ED,FR,2019,AH,HEC,1,1,1
242135000000.0,201980,4.0,Henry County High School,242135,M,21,156.7,43314,8.0,2019,4.0,Engineering,Computer Engineering,1,1,Yes,35,Asian,In-State,Full-Time,Computer Engineering (BSCmpE),0,0,0,West,CMPE,EN,SO,2019,EN,CMPE,1,0,0
